Department,Department Name,Division,Gender,Base Salary,2025 Overtime Pay,2025 Longevity Pay,Grade
POL,Department of Police,POL 47 FSB Security Services Division,M,86352,12819.39,5506.19,15
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,119715.37,1559.75,0,N24
COR,Correction and Rehabilitation,COR 42 DS MCDC Custody and Security,F,109539,57286.91,7679.72,C5
COR,Correction and Rehabilitation,COR 42 DS MCDC Custody and Security,F,131637,56297.69,14087.02,C1
FRS,Fire and Rescue Services,FRS 45 Rescue 2,M,113815,112881.82,7969.2,F4
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,107323,0,3380.54,20
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OSP Low Code Governance and Administration,M,153585,0,4913.34,N28
FRS,Fire and Rescue Services,FRS 45 Training,M,141187,41804.21,7744.01,B2
DOT,Department of Transportation,DOT 50 Transit Nicholson Ride On,M,95939.38,26364.11,0,T1
FRS,Fire and Rescue Services,FRS 45 Station 9,M,98543,609.64,3340.75,F2
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,94797.08,1074.61,0,T1
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,90927.54,230.85,0,T1
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,78880.38,0,7730.33,16
DOT,Department of Transportation,DOT 50 Transit Nicholson Ride On,M,93655.37,9663.67,0,T1
FRS,Fire and Rescue Services,FRS 45 Volunteer Services Division,M,190000,0,0,EX3
COR,Correction and Rehabilitation,COR 42 PTS Supervision,F,124464,0,96.49,24
COR,Correction and Rehabilitation,COR 42 DS MCDC Central Processing Unit,M,109539,26621.76,7603.83,C5
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,93655.37,37935.84,0,T1
ABS,Alcohol Beverage Services,ABS 85 Olney,M,82745,36.89,5380.3,14
DGS,Department of General Services,DGS 36 Fleet Management Fleet Services,M,102711,6991.8,6678.42,19
DOT,Department of Transportation,DOT 50 Transit Nicholson Ride On,M,90927.54,1526.65,0,T1
DOT,Department of Transportation,DOT 50 Transit Nicholson Ride On,M,103361.53,19640.42,0,T2
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,112166,2909.24,8165.93,N21
FRS,Fire and Rescue Services,FRS 45 Station 26,M,103472,78057.68,7245.08,F3
POL,Department of Police,POL 47 PSB Duty Commander,M,202747,0,0,A3
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,128198,0,9018.92,24
POL,Department of Police,POL 47 MSB Information Management and Technology Division,M,141779.59,0,0,N28
DGS,Department of General Services,DGS 36 Fleet Management Fleet Services,M,117252,14442.14,7330.04,N22
COR,Correction and Rehabilitation,COR 42 DS Inmate Records,F,91392,0,1044.9,17
SHF,Sheriff's Office,SHF 48 Court and Transport,F,127357,9790.8,8928.9,D1
POL,Department of Police,POL 47 CRB Community Engagement Division Community Engagement Section,F,120811,6652.92,12807.24,P4
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,79296,0,7860.22,13
FRS,Fire and Rescue Services,FRS 45 Station 18,M,103472,27713.21,7245.08,F3
DOT,Department of Transportation,DOT 50 Transit Central Communication,M,98322,1258.85,3145.54,18
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,92514,6508.36,0,T1
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Enterprise Information Security Office,F,153585,0,4913.34,N28
POL,Department of Police,POL 47 PSB 1st District Community Operations,F,120811,35139.97,12807.24,P4
LIB,Department of Public Libraries,LIB 71 Aspen Hill Library,M,128198,0,4101.12,24
LIB,Department of Public Libraries,LIB 71 Twinbrook Library,M,79296,0,7532.89,13
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,M,107323,0,10638.4,20
POL,Department of Police,POL 47 FSB Traffic Division Central Traffic Enforcement,M,120811,4518.4,8390.62,P4
FRS,Fire and Rescue Services,FRS 45 Station 26,M,136743,0,0,B2
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,112173.25,0,0,24
DEP,Department of Environmental Protection,DEP 80 Strategic and Administrative Services Division,F,134086,0,4289.54,25
FRS,Fire and Rescue Services,FRS 45 Station 9,F,103472,17204.29,3596.16,F3
FRS,Fire and Rescue Services,FRS 45 Station 30,M,141187,14928.11,4859.36,B2
FRS,Fire and Rescue Services,FRS 45 Fire and Explosive Investigations,M,103472,54894.65,3526.49,F3
POL,Department of Police,POL 47 PSB 4th District Special Assignment Team,M,120811,82050.5,12807.24,P4
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,M,128198,0,4101.12,24
DPS,Department of Permitting Services,DPS 75 Commercial Bldg/LS/Access/FPS,M,140274,0,4487.56,26
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,78880.38,33.57,2496.23,16
FRS,Fire and Rescue Services,FRS 45 Station 17,M,103472,13518.83,4391.53,F3
HCA,Department of Housing and Community Affairs,HCA 76 Housing Code Enforcement,M,130181,0,0,N25
OLO,Office of Legislative Oversight,OLO 03 Legislative Oversight Staff,F,140274,0,0,N26
FRS,Fire and Rescue Services,FRS 45 Station 22,M,113815,8015.53,3174.14,F4
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,94797.38,33584.59,0,T1
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OSP Low Code Governance and Administration,F,153585,0,4913.34,N28
DOT,Department of Transportation,DOT 50 Highway Services,M,90149,12269.58,5861.66,16
COR,Correction and Rehabilitation,COR 42 DS MCDC Custody and Security,M,109539,48857.34,7679.72,C5
FRS,Fire and Rescue Services,FRS 45 Station 24,M,113815,15256.78,1378.98,F4
DEP,Department of Environmental Protection,DEP 80 Design and Construction,M,117252,0,11622.56,22
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,140274,6741.83,9120.82,N26
FRS,Fire and Rescue Services,FRS 45 First Battalion - Administration,M,125207,3838.7,1516.98,B1
LIB,Department of Public Libraries,LIB 71 Marilyn J Praisner Library,F,107323,0,6978.26,N20
LIB,Department of Public Libraries,LIB 71 Brigadier General Charles E. McGee Library,M,134086,0,0,N25
FRS,Fire and Rescue Services,FRS 45 Station 6,M,103472,836.71,3423.19,F3
POL,Department of Police,POL 47 FSB Traffic Division Central Traffic Enforcement,M,120811,12265.82,12807.24,P4
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,F,107323,1985.04,10638.4,20
FRS,Fire and Rescue Services,FRS 45 Station 4,M,103472,71360.45,3560.22,F3
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,166513.14,0,0,M3
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,76582.63,0,1461.63,16
DOT,Department of Transportation,DOT 50 Highway Administration,M,117252,15227.41,3751.04,22
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,F,98322,0,3145.54,18
DPS,Department of Permitting Services,"DPS 75 Commercial Sustainability, Energy, and Mechanical",F,140274,0,9120.82,26
CEC,Community Engagement Cluster,CEC 16 Silver Spring Urban District,M,94134,14493.49,8843.8,N17
DGS,Department of General Services,DGS 36 Facilities Maintenance,M,94134,33527.55,6120.72,17
DOT,Department of Transportation,DOT 50 Parking Management Parking Operations,M,86352,0,0,15
DOT,Department of Transportation,DOT 50 Transit Nicholson Ride On,M,94797.08,2017.5,0,T1
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,F,93655.37,27557.12,0,T1
DGS,Department of General Services,DGS 36 Facilities Maintenance,F,64452,238.57,2061.92,8
REC,Department of Recreation,REC 72 Senior Programs,F,112166,0,3588.34,21
COR,Correction and Rehabilitation,COR 42 MBHS Medical and Behavioral Health Services,F,128198,717.68,8335.6,24
DEP,Department of Environmental Protection,DEP 80 Recycling and Refuse Services,M,112166,11530.23,7293.28,21
DOT,Department of Transportation,DOT 50 Transit Nicholson Ride On,F,94797.08,14800.28,0,T1
POL,Department of Police,POL 47 PSB 3rd District Patrol,F,90149,14606.02,8936.04,16
DOT,Department of Transportation,DOT 50 Highway Services,M,86352,34273.06,2762.48,15
HHS,Department of Health and Human Services,HHS 60 Children Youth and Family Services Division,M,174249.66,0,0,M3
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,92036.29,1664.73,0,T1
COR,Correction and Rehabilitation,COR 42 DS MCCF Unit 2 Security,F,131637,50526.9,10937.33,C1
SHF,Sheriff's Office,SHF 48 Child Support,F,79296,0,7860.22,13
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,F,94797.38,1564.99,0,T1
LIB,Department of Public Libraries,LIB 71 Davis Library,F,128198,0,12707.6,24
LIB,Department of Public Libraries,LIB 71 Collection Management,F,128198,0,12581.05,24
COR,Correction and Rehabilitation,COR 42 DS MCDC Custody and Security,F,109539,39076.19,3618.62,C5
DOT,Department of Transportation,DOT 50 Highway Services,M,86352,17501.41,2762.48,15
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,97081,21193.93,0,T1
POL,Department of Police,POL 47 Field Services Bureau,M,120811,285.34,12807.24,P4
DPS,Department of Permitting Services,DPS 75 Zoning and Site Plan Compliance,M,122603,0,3922.18,23
POL,Department of Police,POL 47 MSB Communications Division,F,122603,9667.73,0,N23
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,120811,2290.74,12807.24,P4
POL,Department of Police,POL 47 PSB 2nd District Community Operations,M,120811,0,12807.24,P4
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,98322,966.9,4668.22,18
FRS,Fire and Rescue Services,FRS 45 Station 40,M,103472,15910.74,2885.67,F3
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,86352,17891.15,2762.48,15
FRS,Fire and Rescue Services,FRS 45 Station 7,M,113815,210123.77,3916.1,F4
DOT,Department of Transportation,DOT 50 Transit Nicholson Ride On,F,93655.37,807.9,0,T1
FRS,Fire and Rescue Services,FRS 45 Third Battalion - Administration,M,125207,77801.36,4308.1,B1
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,128198,0,12707.6,24
LIB,Department of Public Libraries,LIB 71 Quince Orchard Library,F,41034.85,0,2668.2,13
DOT,Department of Transportation,DOT 50 Transit Nicholson Ride On,F,94797.08,8687.77,0,T1
DOT,Department of Transportation,DOT 50 Transit Central Communication,M,98322,3635.39,9746.18,18
DOT,Department of Transportation,DOT 50 Transit Nicholson Ride On,M,97081,22970.41,0,T1
POL,Department of Police,POL 47 PSB 5th District Station,M,171890.69,0,7397.28,A2
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,F,34964.97,0,2201.51,10
DGS,Department of General Services,DGS 36 Fleet Management Fleet Services,M,102711,6029.16,3285.78,19
DOT,Department of Transportation,DOT 50 Transit Special Transportation and Medicaid,M,200829,0,0,M2
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,103361.53,6932.34,0,T2
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,78880.38,134.25,2446.59,16
POL,Department of Police,POL 47 FSB Security Services Division,F,98322,21325.22,6393.02,18
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OPS Public Safety Data Systems,M,153585,0,4913.34,N28
POL,Department of Police,POL 47 PSB 1st District Special Assignment Team,M,126852,28152.2,8810.14,P5
COR,Correction and Rehabilitation,COR 42 DS MCCF Unit 3 Security,M,144116,0,9129.1,C2
FRS,Fire and Rescue Services,FRS 45 Station 9,M,103472,57403.83,10841.51,F3
HRC,Office of Human Rights,HRC 46 Compliance,F,165174.99,0,0,M3
DEP,Department of Environmental Protection,DEP 80 Resource Conversion,M,122603,2018.13,0,N23
FRS,Fire and Rescue Services,FRS 45 Station 3,M,125207,17433.44,4308.1,B1
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,134086,0,0,N25
LIB,Department of Public Libraries,LIB 71 Potomac Library,F,107323,0,0,N20
POL,Department of Police,POL 47 MSB Information Management and Technology Division,F,174641.65,0,0,M3
POL,Department of Police,POL 47 MSB Budget and Capital Management Division Financial and Grants Management Section,F,122603,4786.38,2941.32,23
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,79296,0,2536.8,13
POL,Department of Police,POL 47 PSB 4th District Patrol,M,120811,33743.83,12807.24,P4
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,112166,647.12,0,N21
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,128198,0,5093.88,24
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,97081,14477.35,0,T1
DGS,Department of General Services,DGS 36 Facilities Maintenance,M,98322,21047.93,6393.02,18
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,122603,0,11693.32,23
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,128198,0,4101.12,24
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,M,60814.4,479.95,6406.22,12
POL,Department of Police,POL 47 FSB Traffic Division Automated Traffic Enforcement Section,M,86352,0,5614.68,15
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,F,34964.97,0,1004.3,10
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,128198,0,8677.26,24
DEP,Department of Environmental Protection,DEP 80 Materials Management,M,146770,0,9543.1,27
DGS,Department of General Services,DGS 36 Facilities Major Programs,M,146770,0,4695.32,27
POL,Department of Police,POL 47 PSB 1st District Patrol,M,115223,0,1380.97,P4
POL,Department of Police,POL 47 PSB 6th District Patrol,M,120811,46581.85,8390.62,P4
FRS,Fire and Rescue Services,FRS 45 Station 23,M,125207,104412.72,13381.58,B1
REC,Department of Recreation,REC 72 Youth Development Youth Services,F,119032,0,3961.71,N23
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,94797.38,2481.81,0,T1
DPS,Department of Permitting Services,DPS 75 Commercial Electrical and FPS Inspections,M,170487.35,0,0,M3
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,107323,15118.25,6305.86,20
DPS,Department of Permitting Services,DPS 75 Residential Inspections,M,112166,89.04,11118.46,21
REC,Department of Recreation,REC 72 Programs Division,F,188450.97,0,0,M2
ABS,Alcohol Beverage Services,ABS 85 Director's Office,F,153585,0,14429.2,N28
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Community Technology (GF),F,112166,1877.36,0,20
DGS,Department of General Services,DGS 36 Fleet Management Fleet Services,M,99719,0,0,19
DOT,Department of Transportation,DOT 50 Highway Services,M,128198,82846.14,11546.58,N24
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,M,154243.42,0,0,M3
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Loading,M,76018,2233.78,2432.01,12
HCA,Department of Housing and Community Affairs,HCA 76 Housing Code Enforcement,M,122603,291.96,12153,23
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,163612.15,0,0,M3
DOT,Department of Transportation,DOT 50 Parking Management Parking Operations,M,79296,0,5925.31,13
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,F,97081,27940.07,0,T1
ABS,Alcohol Beverage Services,ABS 85 Wheaton,M,60814.4,26.4,3420.84,12
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,97081,12852.28,0,T1
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,93655.37,10294.13,0,T1
DOT,Department of Transportation,DOT 50 Parking Management Parking Operations,M,98322,0,3145.54,N18
POL,Department of Police,POL 47 FSB Security Services Division,M,86352,776.61,5614.68,15
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,96148.5,0,2971.88,24
DPS,Department of Permitting Services,DPS 75 Commercial Structural and Complex Structures,M,140274,0,7538.89,26
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,76018,934.24,2432,12
DOT,Department of Transportation,DOT 50 Highway Services,M,86352,21137.71,2762.48,15
POL,Department of Police,POL 47 MSB Information Mgmt and Tech Division Warrant Control Section,F,90149,5845.33,8936.04,16
DOT,Department of Transportation,DOT 50 Transit Nicholson Ride On,M,94797.38,25695.83,0,T1
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,97081,6875.94,0,T1
FRS,Fire and Rescue Services,FRS 45 Station 11,M,103472,173.97,557.17,F3
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,M,34964.97,0,841.68,10
POL,Department of Police,POL 47 MSB Communications Division,F,174642,0,0,M3
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,64099,0,6390.68,24
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,112166,0,7293.28,21
DOT,Department of Transportation,DOT 50 Highway Services,M,120859.61,82078.13,0,N24
DGS,Department of General Services,DGS 36 Fleet Management Administration,M,112166,10083.5,2771.56,21
DOT,Department of Transportation,DOT 50 Transit Nicholson Ride On,F,112166,2370.98,0,N21
DGS,Department of General Services,DGS 36 Fleet Management Services,M,90149,619.12,2884.02,16
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Voice Services,M,107323,6670.16,3433.42,20
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,97081,2965.8,0,T1
DOT,Department of Transportation,DOT 50 Transit Nicholson Ride On,M,93655.37,7116.4,0,T1
POL,Department of Police,POL 47 PSB 1st District Patrol,F,139532,99119.62,14791.84,A1
DEP,Department of Environmental Protection,DEP 80 Environmental Compliance Group,F,128198,2290.94,4101.12,24
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,78880.38,1040.45,2270.1,16
POL,Department of Police,POL 47 FSB Security Services Division,F,112166,11467.67,7093.8,21
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,128198,0,12707.6,24
HHS,Department of Health and Human Services,HHS 60 Children Youth and Family Services Division,F,112166,0,0,21
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,61301.48,0,6076.56,23
DOT,Department of Transportation,DOT 50 Highway Services,M,86352,18467.76,2762.48,15
POL,Department of Police,POL 47 MSB Information Mgmt and Tech Division Records Management Section,F,102070.53,17929.1,3265.4,16
DGS,Department of General Services,DGS 36 Fleet Management Fleet Services,M,102711,4645.86,6815.28,19
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,69930,10979.8,4529.27,10
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,78880.38,0,7002.93,16
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,174641.65,0,0,M3
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,97081,6304.37,0,T1
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,97081,1728.15,0,T1
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,F,34964.97,0,2545.22,10
POL,Department of Police,POL 47 MSB Training and Education Division,M,120811,4116.23,12807.24,P4
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,F,94797.38,9930.02,0,T1
DPS,Department of Permitting Services,DPS 75 Director's Office,M,223879.77,0,0,M1
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,94797.08,4766.96,0,T1
POL,Department of Police,POL 47 MSB Training and Education Division,M,120811,22479.35,12807.24,P4
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,F,94797.08,9093.53,0,T1
OHR,Office of Human Resources,OHR 33 Professional Learning and Org Development,F,112166,0,1121.68,N21
DGS,Department of General Services,DGS 36 Fleet Management Fleet Services,M,102711,3112.58,6678.42,19
DOT,Department of Transportation,DOT 50 Highway Services,M,86352,12638.74,1873.78,15
DOT,Department of Transportation,DOT 50 Transit Nicholson Ride On,F,112166,1819.28,0,N21
COR,Correction and Rehabilitation,COR 42 DS MCCF Unit 3 Security,M,139918,0,7605.91,C2
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,F,94797.08,19252.05,0,T1
HCA,Department of Housing and Community Affairs,HCA 76 Licensing,M,90149,0,5861.66,16
POL,Department of Police,POL 47 PSB 5th District Patrol,M,120811,0,13168.59,P4
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,97081,5036.6,0,T1
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,M,140274,0,13904.58,26
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,98322,3382.57,0,N18
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,128198,0,8335.6,24
REC,Department of Recreation,REC 72 Countywide Programs,F,112166,0,11118.46,21
DGS,Department of General Services,DGS 36 Fleet Management Fleet Services,M,113837,0,1879.93,N22
DOT,Department of Transportation,DOT 50 Highway Services,M,94134,27907.06,6120.72,17
FRS,Fire and Rescue Services,FRS 45 Field Operations Administration,M,125207,109935.97,10391.75,B1
FRS,Fire and Rescue Services,FRS 45 Station 35,M,103472,34638.52,1253.64,F3
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,78880.38,0,6881.6,16
DOT,Department of Transportation,DOT 50 Traffic Engineering Design and Operations,M,174641.65,0,0,M3
FRS,Fire and Rescue Services,FRS 45 Station 6,M,113815,0,11687.32,F4
LIB,Department of Public Libraries,LIB 71 White Oak Library,F,79296,0,5156.04,13
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,93655.37,8415.78,0,T1
FRS,Fire and Rescue Services,FRS 45 Station 14,M,103472,72432.46,3560.22,F3
LIB,Department of Public Libraries,LIB 71 White Oak Library,F,112166,0,7293.28,21
POL,Department of Police,POL 47 PSB 4th District Patrol,M,120811,46766.03,12807.24,P4
POL,Department of Police,POL 47 MSB Communications Division,M,122603,26315.55,0,N23
SHF,Sheriff's Office,SHF 48 Administration,M,162088,0,3049.97,D3
SHF,Sheriff's Office,SHF 48 Administration,M,205259.57,0,0,
CAT,County Attorney's Office,CAT 30 Government Operations,F,181336,0,11031.27,N32
FRS,Fire and Rescue Services,FRS 45 Station 7,M,103472,1819.29,1253.64,F3
POL,Department of Police,POL 47 MSB Information Mgmt and Tech Division Records Management Section,M,90149,425.2,8936.04,16
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,78880.38,0,4100.8,16
POL,Department of Police,POL 47 PSB 4th District Patrol,F,90149,3013.44,2884.02,16
DEP,Department of Environmental Protection,DEP 80 Design and Construction,F,146770,0,4695.32,27
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,M,57576,0,4664.4,5
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,78880.38,0,4199.84,16
FRS,Fire and Rescue Services,FRS 45 Station 6,M,141187,64637.13,6084.18,B2
DGS,Department of General Services,DGS 36 Fleet Management Services,M,90149,2803.88,7536.48,16
CCL,County Council,CCL 01 Council Central Staff,F,200839.7,0,0,M1
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,78880.38,0,7818.92,16
LIB,Department of Public Libraries,LIB 71 Public Service Administration,F,122603,0,8952.04,23
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,78880.38,0,2521.91,16
FRS,Fire and Rescue Services,FRS 45 Station 10,M,113815,1622.89,12164.15,F4
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,97081,11741.68,0,T1
OLR,Office of Labor Relations,OLR 26 Labor Relations Division,M,173924.64,0,0,M3
ORE,Office of Racial Equity and Social Justice,ORE 25 Director's Office,F,112166,0,3588.34,N21
COR,Correction and Rehabilitation,COR 42 DS MCDC Custody and Security,F,131637,13304.56,6884.9,C1
LIB,Department of Public Libraries,LIB 71 Long Branch Library,F,79296,0,4460.52,13
POL,Department of Police,POL 47 FSB Security Services Division,F,90149,3234.06,6319.81,16
FRS,Fire and Rescue Services,FRS 45 Rescue 2,M,141187,99205.73,15089.5,B2
LIB,Department of Public Libraries,LIB 71 Connie Morella Library,F,79296,0,7860.22,13
POL,Department of Police,POL 47 PSB 6th District Special Assignment Team,M,120811,36366.58,8390.62,P4
COR,Correction and Rehabilitation,COR 42 DS MCCF Unit 1 Security,F,109539,119692.02,6791.72,C5
DGS,Department of General Services,DGS 36 Fleet Management Fleet Services,M,102711,789.65,6678.42,19
FRS,Fire and Rescue Services,FRS 45 Station 20,M,113815,42254.76,3916.1,F4
SHF,Sheriff's Office,SHF 48 Court and Transport,F,116404,8299.23,3599.22,G4
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Geographic Information System,F,153585,0,9986.28,N28
FRS,Fire and Rescue Services,FRS 45 Station 34,M,113815,95569.38,8044.69,F4
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,F,134086,57479.41,4289.54,N25
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OMC MC311 Call Center,F,90149,1076.6,5861.66,16
DGS,Department of General Services,DGS 36 Automation,M,140274,0,13904.58,26
POL,Department of Police,POL 47 PSB 3rd District Patrol,M,120811,48147.75,8390.62,P4
BOE,Board of Elections,BOE 24 Polling Place Management,M,101108.18,0,0,21
HCA,Department of Housing and Community Affairs,HCA 76 Housing Code Enforcement,M,72411.45,516.93,0,19
BOE,Board of Elections,BOE 24 Registration Services,F,79571.36,0,0,16
BOE,Board of Elections,BOE 24 Registration Services,F,79571.36,0,0,16
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,90149,64.96,0,16
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,125921.4,0,0,N26
DPS,Department of Permitting Services,DPS 75 Land Development Sediment and Stormwater Inspection,M,92429.28,9710.72,0,19
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OMC MC311 Call Center,F,134086,0,0,N25
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,M,34965,0,0,10
POL,Department of Police,POL 47 PSB 5th District Patrol,M,120811,7863.82,975.84,P4
HHS,Department of Health and Human Services,HHS 60 Children Youth and Family Services Division,F,61301.5,0,3985.94,23
OCP,Office of Consumer Protection,OCP 39 Operations,M,127965.7,0,0,M3
REC,Department of Recreation,REC 72 Business Services,F,134086,0,0,N25
COR,Correction and Rehabilitation,COR 42 DS MCDC Custody and Security,M,109539,41895.45,3344.39,C5
HHS,Department of Health and Human Services,HHS 60 Social Services,M,134086,0,0,N25
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,112166,0,0,21
DOT,Department of Transportation,DOT 50 Transportation Technical Center,M,107323,8245.54,0,20
CCL,County Council,CCL 01 Council Members and Staff,F,171351.09,0,0,LB3
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,135831.87,4727.73,0,N26
COR,Correction and Rehabilitation,COR 42 PTS Supervision,F,128198,91.4,0,24
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,78880.38,0,0,16
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,72288.9,0,0,13
LIB,Department of Public Libraries,LIB 71 Gaithersburg Library,F,32226.13,0,0,8
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,M,75173.78,3131.94,0,13
REC,Department of Recreation,REC 72 Facilities Division,M,112166,0,0,21
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,98322,283.63,0,18
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,M,79296,0,0,13
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,94797.08,13895.93,0,T1
REC,Department of Recreation,REC 72 Youth Development Youth Services,F,122603,549.74,0,N23
LIB,Department of Public Libraries,LIB 71 Chevy Chase Library,F,118020.93,0,0,24
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OMC MC311 Call Center,F,90149,0,0,16
DOT,Department of Transportation,DOT 50 Highway Administration,M,69726.98,16526.01,0,19
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,128198,0,0,24
LIB,Department of Public Libraries,LIB 71 Damascus Library,F,40309.82,0,0,13
LIB,Department of Public Libraries,LIB 71 Olney Library,F,49003.07,0,0,18
